RACEID,DRIVERID,CONSTRUCTORID,CIRCUITID,ROUND,YEAR,LAP DISTANCE KM,LAPS RACE,URBAN,AVG WIND SPEED,MAX WIND SPEED,AVG TEMPERATURE,MIN TEMPERATURE,MAX TEMPERATURE,AVG HUMIDITY,PRECIPITATION,AVG PRESSURE MSL,AVG SURFACE PRESSURE,DRIVER LAST POSITION,WINS SEASON,WINS CAREER,POINTS BEFORE GP,YEARS OF EXPERIENCE,AGE,MATE LAST POSITION,CONSTRUCTOR POINTS BEFORE GP,CONSTRUCTOR WINS SEASON,Q1,Q2,Q3,BEST Q,GRID,Q1 VALID,Q2 VALID,Q3 VALID,RACE VALID,SPRINT Y/N
1168,830,9,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,1,7,70,396.0,10,28,10,426.0,7,82877,82752.0,82207.0,82207.0,1,1,1,1,1,0
1168,846,1,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,4,7,11,408.0,6,26,2,800.0,14,83178,82804.0,82408.0,82408.0,2,1,1,1,1,0
1168,857,1,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,2,7,9,392.0,2,24,4,800.0,14,82605,83021.0,82437.0,82437.0,3,1,1,1,1,0
1168,847,131,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,6,2,5,309.0,6,27,5,459.0,2,83247,82730.0,82645.0,82645.0,4,1,1,1,1,0
1168,844,6,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,8,0,8,230.0,7,28,12,382.0,0,83163,82948.0,82730.0,82730.0,5,1,1,1,1,0
1168,4,117,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,7,0,32,48.0,17,44,17,80.0,0,83071,82861.0,82902.0,82861.0,6,1,1,1,1,0
1168,864,15,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,13,0,0,19.0,0,21,20,68.0,0,83374,82874.0,82904.0,82874.0,7,1,1,1,1,0
1168,839,210,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,15,0,1,32.0,9,29,19,73.0,0,83334,83023.0,82913.0,82913.0,9,1,1,1,1,0
1168,865,215,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,18,0,0,51.0,0,21,9,92.0,0,83373,82997.0,83072.0,82997.0,10,1,1,1,1,0
1168,852,9,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,10,0,0,33.0,4,25,1,426.0,7,83386,83034.0,300000.0,83034.0,11,1,1,0,1,0
1168,860,210,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,19,0,0,41.0,1,20,15,73.0,0,83254,83041.0,300000.0,83041.0,12,1,1,0,1,0
1168,832,3,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,3,0,4,64.0,10,31,11,137.0,0,83187,83042.0,300000.0,83042.0,13,1,1,0,1,0
1168,859,215,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,9,0,0,38.0,2,23,18,92.0,0,83265,83077.0,300000.0,83077.0,14,1,1,0,1,0
1168,863,131,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,5,0,0,150.0,0,19,6,459.0,2,82894,83080.0,300000.0,82894.0,8,1,1,0,1,0
1168,840,117,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,17,0,0,32.0,8,27,7,80.0,0,83316,83097.0,300000.0,83097.0,15,1,1,0,1,0
1168,1,6,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,12,0,105,152.0,17,40,8,382.0,0,83394,300000.0,300000.0,83394.0,16,1,0,0,1,0
1168,848,3,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,11,0,0,73.0,6,29,3,137.0,0,83416,300000.0,300000.0,83416.0,17,1,0,0,1,0
1168,807,15,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,20,0,0,49.0,15,38,13,68.0,0,83450,300000.0,300000.0,83450.0,18,1,0,0,1,0
1168,842,214,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,16,0,1,22.0,8,29,14,22.0,0,83468,300000.0,300000.0,83468.0,19,1,0,0,1,0
1168,861,214,24,24,0,5.281,57,0,19.08,25.39,23.73,18.42,29.87,65.39,0.0,1018.76,1017.94,14,0,0,0.0,1,22,16,22.0,0,83890,300000.0,300000.0,83890.0,20,1,0,0,1,0
