RACEID,CONSTRUCTORID,DATE,Q1,Q2,Q3,SPRINT Y/N,MS RACE,STATUS SPRINT,STATUS RACE,DRIVER LAST POSITION,WINS SEASON,WINS CAREER,YEARS OF EXPERIENCE,POINTS BEFORE GP,AGE
948,131,2016-03-20,85351.0,84605.0,83837.0,N,6503625,,1,1,0,43,8,381.0,31
949,131,2016-04-03,91391.0,90039.0,89493.0,N,5644844,,1,2,0,43,8,18.0,31
950,131,2016-04-17,,,,N,6012121,,1,2,0,43,8,33.0,31
951,131,2016-05-01,96006.0,95820.0,,N,5587019,,1,2,0,43,8,39.0,31
952,131,2016-05-15,83214.0,82159.0,82000.0,N,\N,,4,2,0,43,8,57.0,31
953,131,2016-05-29,74826.0,74056.0,73942.0,N,7169133,,1,3,0,43,8,57.0,31
954,131,2016-06-12,74121.0,73076.0,72812.0,N,5465296,,1,2,1,44,8,82.0,31
955,131,2016-06-19,104259.0,103526.0,121954.0,N,5628701,,1,2,2,45,8,107.0,31
956,131,2016-07-03,66947.0,66228.0,67922.0,N,5258107,,1,2,2,45,8,117.0,31
957,131,2016-07-10,90739.0,89243.0,89287.0,N,5695831,,1,2,3,46,8,142.0,31
958,131,2016-07-24,94210.0,84836.0,80108.0,N,6030115,,1,2,4,47,8,167.0,31
959,131,2016-07-31,75243.0,74748.0,74470.0,N,5444200,,1,1,5,48,8,192.0,31
960,131,2016-08-28,110033.0,,,N,6318692,,1,1,6,49,8,217.0,31
961,131,2016-09-04,81854.0,81498.0,81135.0,N,4663159,,1,1,6,49,8,232.0,31
962,131,2016-09-18,105167.0,103471.0,103288.0,N,6956988,,1,1,6,49,8,250.0,31
963,131,2016-10-02,94444.0,93046.0,92850.0,N,\N,,5,2,6,49,8,265.0,31
964,131,2016-10-09,92218.0,91129.0,90660.0,N,5209109,,1,2,6,49,8,265.0,31
965,131,2016-10-23,96296.0,96450.0,94999.0,N,5892618,,1,2,6,49,8,280.0,31
966,131,2016-10-30,79447.0,79137.0,78704.0,N,6031402,,1,2,7,50,8,305.0,31
967,131,2016-11-13,71511.0,71238.0,70736.0,N,10861335,,1,2,8,51,8,330.0,31
968,131,2016-11-27,99487.0,99382.0,98755.0,N,5884013,,1,2,9,52,8,355.0,31
969,131,2017-03-26,84191.0,83251.0,82188.0,N,5061647,,1,2,0,53,9,380.0,32
970,131,2017-04-09,93333.0,92406.0,91678.0,N,5856158,,1,2,0,53,9,18.0,32
971,131,2017-04-16,90814.0,89535.0,88792.0,N,5640034,,1,2,1,54,9,43.0,32
972,131,2017-04-30,94409.0,93760.0,93767.0,N,5325063,,1,2,1,54,9,61.0,32
973,131,2017-05-14,80511.0,80210.0,79149.0,N,5756497,,1,2,1,54,9,73.0,32
974,131,2017-05-28,73640.0,74106.0,,N,6300141,,1,2,2,55,9,98.0,32
975,131,2017-06-11,72692.0,72496.0,71459.0,N,5585154,,1,2,2,55,9,104.0,32
976,131,2017-06-25,101983.0,101275.0,100593.0,N,7441761,,1,2,3,56,9,129.0,32
977,131,2017-07-09,65064.0,64800.0,64424.0,N,4915953,,1,2,3,56,9,139.0,32
978,131,2017-07-16,99069.0,87893.0,86600.0,N,4887430,,1,2,3,56,9,151.0,32
979,131,2017-07-30,77492.0,76693.0,76707.0,N,5999598,,1,2,4,57,9,176.0,32
980,131,2017-08-27,104184.0,102927.0,102553.0,N,5082820,,1,2,4,57,9,188.0,32
981,131,2017-09-03,96009.0,94660.0,95554.0,N,4532312,,1,2,5,58,9,213.0,32
982,131,2017-09-17,102455.0,100577.0,100126.0,N,7403544,,1,1,6,59,9,238.0,32
983,131,2017-10-01,91605.0,90977.0,90076.0,N,5414060,,1,1,7,60,9,263.0,32
984,131,2017-10-08,89047.0,87819.0,87319.0,N,5251194,,1,1,7,60,9,281.0,32
985,131,2017-10-22,94822.0,93437.0,93108.0,N,5630991,,1,1,8,61,9,306.0,32
986,131,2017-10-29,77518.0,77035.0,76934.0,N,\N,,11,1,9,62,9,331.0,32
987,131,2017-11-12,,,,N,5491730,,1,1,9,62,9,333.0,32
988,131,2017-11-26,97391.0,96742.0,96403.0,N,5657961,,1,1,9,62,9,345.0,32
989,131,2018-03-25,82824.0,82051.0,81164.0,N,5378319,,1,1,0,62,10,363.0,33
990,131,2018-04-08,89396.0,88458.0,88220.0,N,5528452,,1,2,0,62,10,18.0,33
991,131,2018-04-15,93283.0,91914.0,91675.0,N,5753365,,1,2,0,62,10,33.0,33
992,131,2018-04-29,102693.0,102676.0,101677.0,N,6224291,,1,2,0,62,10,45.0,33
993,131,2018-05-13,77633.0,77166.0,76173.0,N,5729972,,1,1,1,63,10,70.0,33
994,131,2018-05-27,72460.0,71584.0,71232.0,N,6191820,,1,1,2,64,10,95.0,33
995,131,2018-06-10,71835.0,71740.0,70996.0,N,5332936,,1,1,2,64,10,110.0,33
996,131,2018-06-24,91271.0,90645.0,90029.0,N,5411385,,1,2,2,64,10,120.0,33
997,131,2018-07-01,64080.0,63577.0,63149.0,N,\N,,32,1,3,65,10,145.0,33
998,131,2018-07-08,86818.0,86256.0,85892.0,N,5252048,,1,2,3,65,10,145.0,33
999,131,2018-07-22,73012.0,,,N,5549845,,1,2,3,65,10,163.0,33
1000,131,2018-07-29,77419.0,91242.0,95658.0,N,5836427,,1,1,4,66,10,188.0,33
1001,131,2018-08-26,102977.0,101553.0,118179.0,N,5025537,,1,1,5,67,10,213.0,33
1002,131,2018-09-02,80810.0,79798.0,79294.0,N,4614484,,1,1,5,67,10,231.0,33
1003,131,2018-09-16,99403.0,97344.0,96015.0,N,6671611,,1,1,6,68,10,256.0,33
1004,131,2018-09-30,92410.0,92595.0,91532.0,N,5245181,,1,1,7,69,10,281.0,33
1005,131,2018-10-07,88702.0,88017.0,87760.0,N,5237062,,1,1,8,70,10,306.0,33
1006,131,2018-10-21,94130.0,93480.0,92237.0,N,5660985,,1,1,9,71,10,331.0,33
1007,131,2018-10-28,75673.0,75644.0,74894.0,N,5987589,,1,1,9,71,10,346.0,33
1008,131,2018-11-11,68464.0,67795.0,67281.0,N,5229066,,1,1,9,71,10,358.0,33
1009,131,2018-11-25,96828.0,95693.0,94794.0,N,5980382,,1,1,10,72,10,383.0,33
1010,131,2019-03-17,82043.0,81014.0,80486.0,N,5148211,,1,1,0,73,11,408.0,34
1011,131,2019-03-31,89262.0,88578.0,88190.0,N,5661295,,1,2,0,73,11,18.0,34
1012,131,2019-04-14,93115.0,91637.0,91570.0,N,5526350,,1,2,1,74,11,43.0,34
1013,131,2019-04-28,101614.0,101580.0,100554.0,N,5514466,,1,1,2,75,11,68.0,34
1014,131,2019-05-12,77292.0,76038.0,76040.0,N,5750443,,1,2,2,75,11,86.0,34
1015,131,2019-05-26,71542.0,70835.0,70166.0,N,6208437,,1,1,3,76,11,112.0,34
1016,131,2019-06-09,71518.0,71010.0,70446.0,N,5347084,,1,1,4,77,11,137.0,34
1017,131,2019-06-23,90609.0,89520.0,88319.0,N,5071198,,1,1,5,78,11,162.0,34
1018,131,2019-06-30,63818.0,63803.0,63262.0,N,4944627,,1,1,6,79,11,187.0,34
1019,131,2019-07-14,85513.0,85840.0,85099.0,N,4868452,,1,1,6,79,11,197.0,34
1020,131,2019-07-28,72852.0,72149.0,71767.0,N,6290942,,1,1,7,80,11,223.0,34
1021,131,2019-08-04,76068.0,75548.0,74769.0,N,5703796,,1,1,7,80,11,225.0,34
1022,131,2019-09-01,105260.0,103592.0,103282.0,N,5026691,,1,1,8,81,11,250.0,34
1023,131,2019-09-08,80272.0,79464.0,79346.0,N,4561864,,1,1,8,81,11,268.0,34
1024,131,2019-09-22,97565.0,96933.0,96408.0,N,7118275,,1,1,8,81,11,284.0,34
1025,131,2019-09-29,93230.0,93134.0,92030.0,N,5618992,,1,1,8,81,11,296.0,34
1026,131,2019-10-13,88735.0,87826.0,87302.0,N,4920613,,1,1,9,82,11,322.0,34
1027,131,2019-10-27,76424.0,75721.0,75262.0,N,5808904,,1,1,9,82,11,338.0,34
1028,131,2019-11-03,93454.0,93045.0,92321.0,N,5639801,,1,1,10,83,11,363.0,34
1029,131,2019-11-17,68614.0,68088.0,67699.0,N,5605817,,1,1,10,83,11,381.0,34
1030,131,2019-12-01,95851.0,95634.0,94779.0,N,5645715,,1,1,10,83,11,387.0,34
1031,131,2020-07-05,64198.0,63096.0,62951.0,N,5461428,,1,1,0,84,12,413.0,35
1032,131,2020-07-12,78188.0,77825.0,79273.0,N,4970683,,1,4,0,84,12,12.0,35
1033,131,2020-07-19,74907.0,74261.0,73447.0,N,5772473,,1,2,1,85,12,37.0,35
1034,131,2020-08-02,85900.0,85347.0,84303.0,N,5281283,,1,1,2,86,12,63.0,35
1035,131,2020-08-09,86818.0,86266.0,85217.0,N,4793319,,1,1,3,87,12,88.0,35
1036,131,2020-08-16,76872.0,76013.0,75584.0,N,5505279,,1,1,3,87,12,107.0,35
1037,131,2020-08-30,102323.0,102014.0,101252.0,N,5048761,,1,1,4,88,12,132.0,35
1038,131,2020-09-06,79514.0,79092.0,78887.0,N,6443301,,1,1,5,89,12,157.0,35
1039,131,2020-09-13,75778.0,75309.0,75144.0,N,8375060,,1,1,5,89,12,164.0,35
1040,131,2020-09-27,92983.0,92835.0,91304.0,N,5663093,,1,1,6,90,12,190.0,35
1041,131,2020-10-11,86620.0,85390.0,85525.0,N,5749641,,1,1,6,90,12,205.0,35
1042,131,2020-10-25,76828.0,76824.0,76652.0,N,5396828,,1,1,7,91,12,230.0,35
1043,131,2020-11-01,74229.0,74643.0,73706.0,N,5312430,,1,1,8,92,12,256.0,35
1044,131,2020-11-15,127599.0,112709.0,112560.0,N,6139313,,1,1,9,93,12,282.0,35
1045,131,2020-11-29,88343.0,87586.0,87264.0,N,7187515,,1,1,10,94,12,307.0,35
1047,131,2020-12-13,95528.0,95466.0,95332.0,N,5807060,,1,1,11,95,12,332.0,35
1051,131,2021-11-21,81901.0,81682.0,80827.0,N,5068471,,1,1,0,95,13,347.0,36
1052,131,2021-03-28,90617.0,90085.0,89385.0,N,5523897,,1,2,1,96,13,343.5,36
1053,131,2021-04-18,74823.0,74817.0,74411.0,N,7376598,,1,1,2,97,13,25.0,36
1054,131,2021-05-02,78857.0,77968.0,78355.0,N,5671421,,1,1,2,97,13,44.0,36
1055,131,2021-05-09,78245.0,77166.0,76741.0,N,5587680,,1,1,3,98,13,69.0,36
1056,131,2021-05-23,71622.0,71116.0,71095.0,N,6005051,,1,1,4,99,13,94.0,36
1057,131,2021-06-06,101545.0,101634.0,101450.0,N,8034078,,1,2,4,99,13,101.0,36
1058,131,2021-06-27,64672.0,64512.0,64067.0,N,4974668,,1,2,4,99,13,101.0,36
1059,131,2021-06-20,91237.0,90788.0,90248.0,N,5248674,,1,2,4,99,13,138.0,36
1060,131,2021-07-04,64506.0,64258.0,64014.0,N,5080995,,1,2,4,99,13,119.0,36
1061,131,2021-07-18,86786.0,86023.0,86134.0,Y,7103284,1.0,1,2,4,99,13,150.0,36
1062,131,2021-08-01,76424.0,76553.0,75419.0,N,7485935,,1,2,5,100,13,177.0,36
1063,131,2021-08-29,119218.0,116229.0,120099.0,N,209672,,1,1,5,100,13,195.0,36
1064,131,2021-09-05,70114.0,69726.0,68923.0,N,5426327,,1,1,5,100,13,202.5,36
1065,131,2021-09-12,80543.0,79936.0,79651.0,Y,\N,1.0,4,2,5,100,13,221.5,36
1066,131,2021-09-26,105992.0,105129.0,104050.0,N,5441001,,1,2,5,100,13,221.5,36
1067,131,2021-10-10,84585.0,83082.0,82868.0,N,5505915,,1,1,6,101,13,246.5,36
1069,131,2021-10-24,94579.0,93797.0,93119.0,N,5677885,,1,2,6,101,13,256.5,36
1070,131,2021-11-07,77207.0,76474.0,76020.0,N,5935641,,1,2,6,101,13,275.5,36
1071,131,2021-11-14,68733.0,68068.0,67934.0,Y,5542851,1.0,1,2,6,101,13,293.5,36
1072,131,2021-12-05,88466.0,87712.0,87511.0,N,7575118,,1,2,7,102,13,318.5,36
1073,131,2021-12-12,82845.0,83145.0,82480.0,N,5419601,,1,2,8,103,13,369.5,36
1074,131,2022-03-20,92285.0,91048.0,91238.0,N,5863259,,1,2,0,103,14,387.5,37
1075,131,2022-03-27,90343.0,,,N,5133241,,1,3,0,103,14,15.0,37
1076,131,2022-04-10,79401.0,79106.0,78825.0,N,5295091,,1,5,0,103,14,16.0,37
1077,131,2022-04-24,80470.0,81138.0,,Y,\N,1.0,11,5,0,103,14,28.0,37
1078,131,2022-05-08,90388.0,89797.0,89625.0,N,5685626,,1,7,0,103,14,28.0,37
1079,131,2022-05-22,80252.0,79794.0,79512.0,N,5895009,,1,6,0,103,14,36.0,37
1080,131,2022-05-29,73444.0,72595.0,72560.0,N,7040653,,1,6,0,103,14,46.0,37
1081,131,2022-06-12,103939.0,103182.0,102924.0,N,5717620,,1,6,0,103,14,50.0,37
1082,131,2022-06-19,93841.0,85543.0,82891.0,N,5788763,,1,6,0,103,14,62.0,37
1083,131,2022-07-03,100428.0,101062.0,101995.0,N,8276536,,1,6,0,103,14,77.0,37
1084,131,2022-07-10,66079.0,65475.0,73151.0,Y,5105529,1.0,1,6,0,103,14,93.0,37
1085,131,2022-07-24,93041.0,92274.0,91765.0,N,5412699,,1,6,0,103,14,109.0,37
1086,131,2022-07-31,78374.0,78035.0,78142.0,N,5983746,,1,6,0,103,14,127.0,37
1087,131,2022-08-28,105736.0,105420.0,105503.0,N,\N,,130,6,0,103,14,146.0,37
1088,131,2022-09-04,71331.0,71075.0,70648.0,N,5815789,,1,6,0,103,14,146.0,37
1089,131,2022-09-11,82048.0,81708.0,81524.0,N,4832891,,1,6,0,103,14,158.0,37
1091,131,2022-10-02,113161.0,112691.0,109466.0,N,7401753,,1,6,0,103,14,168.0,37
1092,131,2022-10-09,90906.0,90443.0,90261.0,N,3744330,,1,6,0,103,14,170.0,37
1093,131,2022-10-23,96148.0,95732.0,94947.0,N,6136710,,1,6,0,103,14,180.0,37
1094,131,2022-10-30,79169.0,78552.0,78084.0,N,5931915,,1,6,0,103,14,198.0,37
1095,131,2022-11-13,73403.0,71539.0,72611.0,Y,5915573,1.0,1,5,0,103,14,216.0,37
1096,131,2022-11-20,85594.0,84774.0,84508.0,N,\N,,9,5,0,103,14,240.0,37
1098,131,2023-03-05,91543.0,90513.0,90384.0,N,5687713,,1,6,0,103,15,240.0,38
1099,131,2023-03-19,89689.0,89374.0,89223.0,N,4905959,,1,5,0,103,15,10.0,38
1100,131,2023-04-02,77689.0,77551.0,77104.0,N,9158550,,1,5,0,103,15,20.0,38
1101,131,2023-04-30,102113.0,101650.0,101177.0,Y,5608581,1.0,1,4,0,103,15,38.0,38
1102,131,2023-05-07,87846.0,87975.0,,N,5309490,,1,4,0,103,15,48.0,38
1104,131,2023-05-28,72872.0,72156.0,71725.0,N,6571042,,1,4,0,103,15,56.0,38
1105,131,2023-06-04,72937.0,72999.0,72818.0,N,5302030,,1,4,0,103,15,69.0,38
1106,131,2023-06-18,81554.0,80426.0,87627.0,N,5652516,,1,4,0,103,15,87.0,38
1107,131,2023-07-02,65673.0,65188.0,64819.0,Y,5182803,1.0,1,4,0,103,15,102.0,38
1108,131,2023-07-09,89415.0,88545.0,87211.0,N,5123721,,1,4,0,103,15,106.0,38
1109,131,2023-07-23,78577.0,77427.0,76609.0,N,5927768,,1,4,0,103,15,121.0,38
1110,131,2023-07-30,118563.0,112345.0,107087.0,Y,5000121,1.0,1,4,0,103,15,133.0,38
1111,131,2023-08-27,81919.0,80151.0,,N,8657620,,1,4,0,103,15,148.0,38
1112,131,2023-09-03,81977.0,81369.0,80820.0,N,4463822,,1,4,0,103,15,156.0,38
1113,131,2023-09-17,92651.0,92019.0,91485.0,N,6398687,,1,4,0,103,15,164.0,38
1114,131,2023-09-24,90811.0,90040.0,89908.0,N,5507797,,1,3,0,103,15,180.0,38
1115,131,2023-10-08,86076.0,84381.0,84305.0,Y,\N,1.0,4,3,0,103,15,190.0,38
1116,131,2023-10-22,95091.0,95240.0,94862.0,Y,5723587,1.0,2,3,0,103,15,194.0,38
1117,131,2023-10-29,78677.0,77571.0,77454.0,N,7364689,,1,3,0,103,15,201.0,38
1118,131,2023-11-05,70604.0,70266.0,71469.0,Y,7071753,1.0,1,3,0,103,15,220.0,38
1119,131,2023-11-19,94307.0,93837.0,,N,5370044,,1,3,0,103,15,226.0,38
1120,131,2023-11-26,84437.0,84359.0,,N,5267048,,1,3,0,103,15,232.0,38
1121,131,2024-03-02,90451.0,89718.0,89710.0,N,5555066,,1,3,0,103,16,234.0,39
1122,131,2024-03-09,88994.0,88606.0,88460.0,N,4890664,,1,7,0,103,16,6.0,39
1123,131,2024-03-24,77499.0,76960.0,,N,\N,,5,9,0,103,16,8.0,39
1124,131,2024-04-07,89661.0,88887.0,88766.0,N,6912192,,1,10,0,103,16,8.0,39
1125,131,2024-04-21,95573.0,,,Y,6110540,1.0,1,9,0,103,16,10.0,39
1126,131,2024-05-05,88167.0,87697.0,88107.0,Y,5466461,1.0,1,9,0,103,16,19.0,39
1127,131,2024-05-19,76604.0,75677.0,75504.0,N,5160356,,1,9,0,103,16,27.0,39
1128,131,2024-05-26,71528.0,71056.0,70621.0,N,8610462,,1,8,0,103,16,35.0,39
1129,131,2024-06-09,72851.0,71979.0,72280.0,N,6352842,,1,8,0,103,16,42.0,39
1130,131,2024-06-23,72143.0,71792.0,71701.0,N,5318017,,1,8,0,103,16,55.0,39
1131,131,2024-06-30,65541.0,65053.0,64903.0,Y,5085940,1.0,1,8,0,103,16,70.0,39
1132,131,2024-07-07,89547.0,86770.0,85990.0,N,4947059,,1,8,0,103,16,85.0,39
1133,131,2024-07-21,77087.0,76307.0,75854.0,N,5896869,,1,8,1,104,16,110.0,39
1134,131,2024-07-28,115692.0,114037.0,113835.0,N,4797566,,1,6,1,104,16,125.0,39
1135,131,2024-08-25,71375.0,70948.0,,N,5495118,,1,6,2,105,16,150.0,39
1136,131,2024-09-01,80477.0,79641.0,79513.0,N,4503547,,1,6,2,105,16,154.0,39
1137,131,2024-09-15,103089.0,102765.0,102289.0,N,5670408,,1,6,2,105,16,164.0,39
1138,131,2024-09-22,90393.0,89929.0,89841.0,N,6137819,,1,6,2,105,16,166.0,39
1139,131,2024-10-20,94154.0,,,Y,\N,1.0,20,6,2,105,16,174.0,39
1140,131,2024-10-27,77306.0,76973.0,76651.0,N,6100580,,1,6,2,105,16,177.0,39
1141,131,2024-11-03,91150.0,,,Y,7665183,1.0,1,6,2,105,16,189.0,39
1142,131,2024-11-23,93225.0,92567.0,108106.0,N,4933282,,1,7,2,105,16,190.0,39
1143,131,2024-12-01,81637.0,81095.0,81011.0,Y,5521445,1.0,1,7,2,105,16,208.0,39
1144,131,2024-12-08,83887.0,,,N,5229774,,1,7,2,105,16,211.0,39
1145,6,2025-03-16,76213.0,75919.0,75973.0,N,6148777,,1,7,0,105,17,223.0,40
1146,6,2025-03-23,91690.0,91501.0,90927.0,Y,\N,1.0,2,10,0,105,17,1.0,40
1147,6,2025-04-06,87942.0,87610.0,87610.0,N,4956165,,1,9,0,105,17,9.0,40
1148,6,2025-04-13,91219.0,91009.0,90772.0,N,5767428,,1,8,0,105,17,15.0,40
1149,6,2025-04-20,88372.0,88102.0,88201.0,N,4905831,,1,7,0,105,17,25.0,40
1150,6,2025-05-04,87279.0,87006.0,,Y,5391773,1.0,1,7,0,105,17,31.0,40
1151,6,2025-05-18,76163.0,75765.0,,N,5507555,,1,7,0,105,17,41.0,40
1152,6,2025-05-25,71575.0,70883.0,70382.0,N,6085230,,1,6,0,105,17,53.0,40
1153,6,2025-06-01,73058.0,72447.0,72045.0,N,5592883,,1,6,0,105,17,63.0,40
1154,6,2025-06-15,71952.0,71885.0,71526.0,N,5523401,,1,6,0,105,17,71.0,40
1155,6,2025-06-29,65115.0,64896.0,64582.0,N,5056713,,1,6,0,105,17,79.0,40
1156,6,2025-07-06,86296.0,85084.0,85095.0,N,5875547,,1,6,0,105,17,91.0,40
1157,6,2025-07-27,101939.0,,,Y,5163280,1.0,1,6,0,105,17,103.0,40
1158,6,2025-08-03,75733.0,75702.0,,N,\N,,11,6,0,105,17,109.0,40
1159,6,2025-08-31,69900.0,69261.0,69390.0,N,\N,,3,6,0,105,17,109.0,40
1160,6,2025-09-07,79765.0,79371.0,79124.0,N,4441774,,1,6,0,105,17,109.0,40
1161,6,2025-09-21,101821.0,102183.0,,N,5642718,,1,6,0,105,17,117.0,40
1162,6,2025-10-05,89765.0,89936.0,89688.0,N,6107618,,1,6,0,105,17,121.0,40
1163,6,2025-10-19,93685.0,92914.0,92912.0,Y,5668697,1.0,1,6,0,105,17,125.0,40
1164,6,2025-10-26,76736.0,76458.0,75938.0,N,5935020,,1,6,0,105,17,142.0,40
1165,6,2025-11-09,70016.0,70100.0,,Y,\N,1.0,130,6,0,105,17,146.0,40
1166,6,2025-11-23,117115.0,,,N,4927798,,1,6,0,105,17,148.0,40
1167,6,2025-11-30,80907.0,,,Y,5155971,1.0,1,6,0,105,17,152.0,40
948,131,2016-03-20,86934.0,84796.0,84197.0,N,6495565,,1,2,0,14,8,322.0,30
949,131,2016-04-03,91325.0,90535.0,89570.0,N,5614696,,1,1,1,15,8,25.0,30
950,131,2016-04-17,97669.0,96240.0,95402.0,N,5933891,,1,1,2,16,8,50.0,30
951,131,2016-05-01,96119.0,95337.0,95417.0,N,5561997,,1,1,3,17,8,75.0,30
952,131,2016-05-15,83002.0,82759.0,82280.0,N,\N,,4,1,4,18,8,100.0,30
