RACEID,DRIVERID,CONSTRUCTORID,CIRCUITID,ROUND,YEAR,LAP DISTANCE KM,LAPS RACE,DRIVER LAST POSITION,WINS SEASON,WINS CAREER,POINTS BEFORE GP,YEARS OF EXPERIENCE,AGE,MATE LAST POSITION,CONSTRUCTOR POINTS BEFORE GP,CONSTRUCTOR WINS SEASON,Q1,Q2,Q3,BEST Q,GRID,SPRINT Y/N,MS RACE
1145,1,6,1,1,2025,5.278,57,4,0,105,223.0,17,40,5.0,652.0,0,76213.0,75919.0,75973.0,75919.0,8,0,6148777.0
1145,4,117,1,1,2025,5.278,57,9,0,32,70.0,17,43,14.0,94.0,0,76288.0,76453.0,300000.0,76288.0,12,0,10000000.0
1145,807,15,1,1,2025,5.278,57,8,0,0,41.0,15,37,16.0,4.0,0,76579.0,300000.0,300000.0,76579.0,17,0,6144727.0
1145,830,9,1,1,2025,5.278,57,6,0,63,437.0,10,27,,589.0,0,76018.0,75565.0,75481.0,75481.0,3,0,6127199.0
1145,832,3,1,1,2025,5.278,57,2,0,4,290.0,10,30,3.0,17.0,0,76360.0,75931.0,76062.0,75931.0,10,0,10000000.0
1145,839,210,1,1,2025,5.278,57,0,0,1,23.0,9,28,5.0,58.0,0,77147.0,300000.0,300000.0,77147.0,19,0,6159465.0
1145,840,117,1,1,2025,5.278,57,14,0,0,24.0,8,26,9.0,8.0,0,76369.0,76483.0,300000.0,76369.0,13,0,6143717.0
1145,842,214,1,1,2025,5.278,57,7,0,1,42.0,8,29,15.0,65.0,0,76328.0,76112.0,75980.0,75980.0,9,0,6152806.0
1145,844,6,1,1,2025,5.278,57,3,0,8,356.0,7,27,2.0,5.0,0,76029.0,75827.0,75755.0,75755.0,7,0,6146130.0
1145,846,1,1,1,2025,5.278,57,1,0,4,374.0,6,25,10.0,666.0,0,75912.0,75415.0,75096.0,75096.0,1,0,6126304.0
1145,847,131,1,1,2025,5.278,57,5,0,3,245.0,6,27,4.0,468.0,0,75971.0,75798.0,75546.0,75546.0,4,0,6134785.0
1145,848,3,1,1,2025,5.278,57,11,0,0,12.0,6,28,,10.0,0,76245.0,76017.0,75737.0,75737.0,6,0,6139077.0
1145,852,215,1,1,2025,5.278,57,12,0,0,30.0,4,24,17.0,46.0,0,76225.0,76009.0,75670.0,75670.0,5,0,6156188.0
1145,857,1,1,1,2025,5.278,57,10,0,2,292.0,2,23,1.0,27.0,0,76062.0,75468.0,75180.0,75180.0,2,0,6146752.0
1145,859,9,1,1,2025,5.278,57,17,0,0,4.0,2,23,12.0,18.0,0,77094.0,300000.0,300000.0,77094.0,18,0,10000000.0
1145,860,210,1,1,2025,5.278,57,12,0,0,7.0,1,19,,0.0,0,300000.0,300000.0,300000.0,300000.0,20,0,6166655.0
1145,862,214,1,1,2025,5.278,57,15,0,0,0.0,1,22,7.0,0.0,0,76315.0,76863.0,300000.0,76315.0,14,0,10000000.0
1145,863,131,1,1,2025,5.278,57,0,0,0,0.0,0,18,,27.0,0,76525.0,300000.0,300000.0,76525.0,16,0,6136439.0
1145,864,15,1,1,2025,5.278,57,0,0,0,0.0,0,20,,6.0,0,76516.0,77520.0,300000.0,76516.0,15,0,10000000.0
1145,865,215,1,1,2025,5.278,57,0,0,0,0.0,0,20,,0.0,0,76354.0,76175.0,300000.0,76175.0,11,0,10000000.0
1146,1,6,17,2,2025,5.451,56,10,0,105,1.0,17,40,8.0,5.0,0,91690.0,91501.0,90927.0,90927.0,5,1,10000000.0
1146,4,117,17,2,2025,5.451,56,17,0,32,0.0,17,43,6.0,8.0,0,91719.0,91688.0,300000.0,91688.0,13,1,10000000.0
1146,807,15,17,2,2025,5.451,56,7,0,0,6.0,15,37,16.0,6.0,0,91921.0,91632.0,300000.0,91632.0,12,1,5553658.0
1146,830,9,17,2,2025,5.451,56,2,0,63,18.0,10,27,15.0,18.0,0,91424.0,91142.0,90817.0,90817.0,4,1,5471682.0
1146,832,3,17,2,2025,5.451,56,18,0,4,0.0,10,30,5.0,10.0,0,91628.0,91840.0,300000.0,91628.0,15,1,5531413.0
1146,839,210,17,2,2025,5.451,56,13,0,1,0.0,9,28,14.0,0.0,0,91876.0,91625.0,300000.0,91625.0,11,1,5504995.0
1146,840,117,17,2,2025,5.451,56,6,0,0,8.0,8,26,17.0,10.0,0,91923.0,91773.0,300000.0,91773.0,14,1,5525230.0
